date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:57	131/131	---MCZ	200	added ('OK')	text/plain	date:Sat,%2023%20Sep%202023%2011:08:59%20GMT	https://otaru.qodeinteractive.com/robots.txt		(from )
16:38:58	140515/140515	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Sep%202023%2011:08:59%20GMT	https://otaru.qodeinteractive.com/product/smart-headphones/	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/product/smart-headphones/index.html	(from )
16:38:58	24702/24702	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:23%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.1.4	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.min1b46.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:38:59	22518/22518	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Apr%202022%2011:23:26%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/otaru-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/otaru-core/inc/icons/elegant-icons/assets/css/elegant-icons.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:38:59	1470/1470	---MC-	200	added ('OK')	application/rss+xml	etag:%22c4b46df2574f7e8e4d94a8001ee72191%22	https://otaru.qodeinteractive.com/product/smart-headphones/feed/	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/product/smart-headphones/feed/index.html	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:00	59344/59344	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Apr%202022%2011:23:26%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/otaru-core/inc/icons/font-awesome/assets/css/all.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/otaru-core/inc/icons/font-awesome/assets/css/all.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:01	104484/104484	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2021:51:21%20GMT	https://otaru.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:01	10435/10435	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:38%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.8.5	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style519f.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:02	260560/260560	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:38%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.8.5	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style519f.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:02	2859/2859	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:12%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/stylescfaa.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:03	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%2263c16c7d-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/export.qodethemes.com/_toolbar/assets/css/rbt-modules9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:03	12876/12876	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:15%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:04	44809/44809	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:20%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:04	24543/24543	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:20%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:04	279845/279845	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:49:20%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:05	2539/2539	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Apr%202022%2011:23:26%20GMT	https://otaru.qodeinteractive.com/wp-content/plugins/otaru-core/assets/plugins/perfect-scrollbar/perfect-scrollbar.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/plugins/otaru-core/assets/plugins/perfect-scrollbar/perfect-scrollbar9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
16:39:05	229229/229229	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2012:43:57%20GMT	https://otaru.qodeinteractive.com/wp-content/themes/otaru/assets/css/main.min.css?ver=6.3.1	C:/My%20Web%20Sites/rprr/otaru.qodeinteractive.com/wp-content/themes/otaru/assets/css/main.min9b30.css	(from https://otaru.qodeinteractive.com/product/smart-headphones/)
